nome_armazenador,estado,municipio,nome_geradora_residuo,residuo,ano,nome_distribuidor,quantidade,unidade
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AUTOCAM DO BRASIL USINAGEM LTDA.,Papel e Papelao,2022,TERNIUM BRASIL LTDA,1848.17,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AUTOCAM DO BRASIL USINAGEM LTDA.,Papel e Papelao,2022,METSO BRASIL INDUSTRIA E COMERCIO LTDA,17351.83,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AUTOCAM DO BRASIL USINAGEM LTDA.,Plasticos,2022,TERNIUM BRASIL LTDA,3202.08,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AUTOCAM DO BRASIL USINAGEM LTDA.,Plasticos,2022,VALLOUREC SOLUÇÕES TUBULARES DO BRASIL S.A.,8260.67,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AUTOCAM DO BRASIL USINAGEM LTDA.,Plasticos,2022,TUPY S.A.,3737.25,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,TT SERVIÇOS DE RECICLAGEM LTDA,Metais e derivados,2022,VALLOUREC SOLUÇÕES TUBULARES DO BRASIL S.A.,5406458.0,kilogramas (kg)
SUDESTE PAULISTA COM DE METAIS LTDA,SAO PAULO,SOROCABA,AISIN AUTOMOTIVE LTDA,Papel e Papelao,2022,COMPANHIA SIDERÚRGICA DO ESPIRITO SANTO S.A.,38460.0,kilogramas (kg)
PC DE ARAUJO COLETA DE RESÍDUOS EIRELI-ME,SAO PAULO,MERIDIANO,AVIP - COMÉRCIO DE PRODUTOS DE PETRÓLEO LTDA,Plasticos,2020,PC DE ARAUJO COLETA DE RESÍDUOS EIRELI-ME,27.9,kilogramas (kg)
CARMOCAL DO BRASIL LTDA,SAO PAULO,GUARULHOS,COMPANHIA SIDERÚRGICA NACIONAL,Plasticos,2020,CARMOCAL DO BRASIL LTDA,82.4,kilogramas (kg)
CARMOCAL DO BRASIL LTDA,SAO PAULO,GUARULHOS,SOUZA CRUZ LTDA,Plasticos,2022,CARMOCAL DO BRASIL LTDA,908.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,POSTO IPIRANGAO LTDA,Papel e Papelao,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,720.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO SHM LTDA,Papel e Papelao,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO ARROYO RIO PRETO LTDA,Plasticos,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,120.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,POSTO AVENIDA SAUDADE RIO PRETO LTDA,Papel e Papelao,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,POSTO AVENIDA SAUDADE RIO PRETO LTDA,Plasticos,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,120.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO AQUARIUS DE PRESIDENTE PRUDENTE LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,480.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO DOM PEDRO II DE IBITINGA LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,Plasticos,2020,CENTRAL DE TRATAMENTO DE RESÍDUOS BURITI S.A.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO OLAVO BILAC LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,220.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO RODOVIARIA DE LINS LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,POSTO KEIZY LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO MATSUBARA LTDA,Plasticos,2020,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,ROMA CONSTRUÇÕES METÁLICAS E COMÉRCIO LTDA.,Lodos,2021,MEJAN & MEJAN LTDA.,764.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO MATSUBARA LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO AQUARIUS DE PRESIDENTE PRUDENTE LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO DOM PEDRO II DE IBITINGA LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO OLAVO BILAC LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO PERNAMBUCO DE LINS LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,40.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO RODOVIARIA DE LINS LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,Plasticos,2021,MEJAN & MEJAN LTDA.,240.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,CORBION PRODUTOS RENOVAVEIS LTDA,Baterias e Pilhas,2022,MEJAN & MEJAN LTDA.,60.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,CORBION PRODUTOS RENOVAVEIS LTDA,Lodos,2022,MEJAN & MEJAN LTDA.,11220.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,ROMA CONSTRUÇÕES METÁLICAS E COMÉRCIO LTDA.,Lodos,2022,MEJAN & MEJAN LTDA.,2411.0,kilogramas (kg)
MEJAN & MEJAN LTDA.,SAO PAULO,VOTUPORANGA,ULLIAN ESQUADRIAS METALICAS LTDA,Lodos,2022,MEJAN & MEJAN LTDA.,2322.0,kilogramas (kg)
INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,SAO PAULO,ITUVERAVA,PEDRA AGROINDUSTRIAL S/A,Papel e Papelao,2021,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,1181.0,kilogramas (kg)
INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,SAO PAULO,ITUVERAVA,PEDRA AGROINDUSTRIAL S/A,Papel e Papelao,2021,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,6039.0,kilogramas (kg)
INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,SAO PAULO,ITUVERAVA,PEDRA AGROINDUSTRIAL S/A,Papel e Papelao,2022,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,1045.0,kilogramas (kg)
INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,SAO PAULO,ITUVERAVA,PEDRA AGROINDUSTRIAL S/A,Papel e Papelao,2022,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBLALAGENS VAZIAS,7125.0,kilogramas (kg)
FBM COMÉRCIO DE PNEUS LTDA. - ME,SAO PAULO,RIBEIRAO PRETO,71.876.023/0003-74,Metais e derivados,2022,FBM COMÉRCIO DE PNEUS LTDA. - ME,3384.0,kilogramas (kg)
FBM COMÉRCIO DE PNEUS LTDA. - ME,SAO PAULO,RIBEIRAO PRETO,LAGOINHA COMERCIAL DE VEICULOS IMPORTAÇÃO E EXPORTAÇÃO S/A,Borracha e derivados,2022,FBM COMÉRCIO DE PNEUS LTDA. - ME,436.0,kilogramas (kg)
FBM COMÉRCIO DE PNEUS LTDA. - ME,SAO PAULO,RIBEIRAO PRETO,LAGOINHA COMERCIAL DE VEÍCULOS IMPORTAÇÃO E EXPORTAÇÃO S/A,Borracha e derivados,2022,FBM COMÉRCIO DE PNEUS LTDA. - ME,379.2,kilogramas (kg)
FBM COMÉRCIO DE PNEUS LTDA. - ME,SAO PAULO,RIBEIRAO PRETO,LAGOINHA COMERCIAL DE VEICULOS IMPORTAÇÃO E EXPORTAÇÃO S/A,Borracha e derivados,2022,FBM COMÉRCIO DE PNEUS LTDA. - ME,610.0,kilogramas (kg)
AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,SAO PAULO,SAO JOSE DOS CAMPOS,AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,Baterias e Pilhas,2021,AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,132.0,kilogramas (kg)
AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,SAO PAULO,SAO JOSE DOS CAMPOS,AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,Baterias e Pilhas,2020,AMBIPAR ENVIRONMENT CIRCULAR ECONOMY RM SA,3154.0,kilogramas (kg)
ASACIA - ASSOCIACAO DAS REVENDAS DE AGROTOXICOS DE CASA BRANCA.,SAO PAULO,CASA BRANCA,FERRARI AGROINDÚSTRIA S/A.,Papel e Papelao,2020,ASACIA - ASSOCIACAO DAS REVENDAS DE AGROTOXICOS DE CASA BRANCA.,770.0,kilogramas (kg)
CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA,SAO PAULO,ONDA VERDE,RHUANY INDUSTRIA QUIMICA LTDA ME,Papel e Papelao,2022,CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA,50.0,kilogramas (kg)
UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,SAO PAULO,CARAPICUIBA,FOMECO DO BRASIL INDÚSTRIA METALÚRGICA LTDA,Metais e derivados,2020,UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,106500.0,kilogramas (kg)
UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,SAO PAULO,CARAPICUIBA,FOMECO DO BRASIL INDÚSTRIA METALÚRGICA LTDA,Papel e Papelao,2020,UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,3170.0,kilogramas (kg)
UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,SAO PAULO,CARAPICUIBA,FOMECO DO BRASIL INDÚSTRIA METALÚRGICA LTDA,Metais e derivados,2022,UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,70270.0,kilogramas (kg)
UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,SAO PAULO,CARAPICUIBA,FOMECO DO BRASIL INDÚSTRIA METALÚRGICA LTDA,Plasticos,2022,UNIÃO RECICLA COMERCIO DE FERRO E AÇO LTDA,740.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,POWMAN COMERCIO VAREJISTA DE TINTAS LDTA ME,Papel e Papelao,2021,TGA TECH GESTÃO AMBIENTAL LTDA,1410.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,EATON POWER SOLUTION LTDA,Papel e Papelao,2021,TGA TECH GESTÃO AMBIENTAL LTDA,7368.01,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,EATON POWER SOLUTION LTDA,Plasticos,2021,TGA TECH GESTÃO AMBIENTAL LTDA,803.3,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,EATON POWER SOLUTION LTDA,Metais e derivados,2021,TGA TECH GESTÃO AMBIENTAL LTDA,213.4,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,EATON POWER SOLUTION LTDA,Papel e Papelao,2021,TGA TECH GESTÃO AMBIENTAL LTDA,2609.2,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,GERRESHEIMER SISTEMAS PLASTICOS MEDICINAIS SAO PAULO LTDA,Baterias e Pilhas,2021,TGA TECH GESTÃO AMBIENTAL LTDA,33.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,USI-TUBOS INDÚSTRIA METALÚRGICA LTDA,Metais e derivados,2021,TGA TECH GESTÃO AMBIENTAL LTDA,175.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,SACMI DO BRASIL INDÚSTRIA E COMÉRCIO LTDA,Papel e Papelao,2021,TGA TECH GESTÃO AMBIENTAL LTDA,2000.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,INDUSTRIA E COMERCIO DE FERRAMENTAS MAYORCA LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,8740.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,INDUSTRIA E COMERCIO DE FERRAMENTAS MAYORCA LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,1200.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,DANPOWER CALDEIRAS E EQUIPAMENTOS LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,1137.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,SILGAN WHITE CAP DO BRASIL LTDA,Baterias e Pilhas,2022,TGA TECH GESTÃO AMBIENTAL LTDA,20.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,MACLEAN POWER SYSTEMS DO BRASIL LTDA,Metais e derivados,2022,TGA TECH GESTÃO AMBIENTAL LTDA,4568.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,ARBORE INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,Papel e Papelao,2022,TGA TECH GESTÃO AMBIENTAL LTDA,13349.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,ARBORE INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,Metais e derivados,2022,TGA TECH GESTÃO AMBIENTAL LTDA,2880.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,DANPOWER CALDEIRAS E EQUIPAMENTOS LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,6825.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,DANPOWER CALDEIRAS E EQUIPAMENTOS LTDA,Baterias e Pilhas,2022,TGA TECH GESTÃO AMBIENTAL LTDA,46.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,LICAV INDUSTRIA E COMERCIO LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,691.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,LICAV INDUSTRIA E COMERCIO LTDA,Baterias e Pilhas,2022,TGA TECH GESTÃO AMBIENTAL LTDA,5.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,CORTAG INDUSTRIA E COMERCIO LTDA,Baterias e Pilhas,2022,TGA TECH GESTÃO AMBIENTAL LTDA,8.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,CORTAG INDUSTRIA E COMERCIO LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,853.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,LKV INDUSTRIA E COMERCIO DE METAIS LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,512.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,ERCA ARAMADOS INDUSTRIA E COMERCIO LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,26101.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,AUTOCAM DO BRASIL USINAGEM LTDA.,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,3590.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,AUTOCAM DO BRASIL USINAGEM LTDA.,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,3210.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,AUTOCAM DO BRASIL USINAGEM LTDA,Papel e Papelao,2022,TGA TECH GESTÃO AMBIENTAL LTDA,3595.0,kilogramas (kg)
TGA TECH GESTÃO AMBIENTAL LTDA,SAO PAULO,MOGI GUACU,AUTOCAM DO BRASIL USINAGEM LTDA,Lodos,2022,TGA TECH GESTÃO AMBIENTAL LTDA,12000.0,kilogramas (kg)
MARIM GERENCIAMENTO DE RESIDUOS,SAO PAULO,SANTOS,BANDEIRANTES DEICMAR LOGISTICA INTEGRADA S.A,Madeiras e derivados,2020,RECICLATEC-RECICLAGEM E COMÉRCIO DE RESÍDUOS INDUSTRIAIS LTD,3460.0,kilogramas (kg)
MARIM GERENCIAMENTO DE RESIDUOS,SAO PAULO,SANTOS,BRASIL TERMINAL PORTUÁRIO S.A,Madeiras e derivados,2022,RECICLATEC-RECICLAGEM E COMÉRCIO DE RESÍDUOS INDUSTRIAIS LTD,6730.0,kilogramas (kg)
MARIM GERENCIAMENTO DE RESIDUOS,SAO PAULO,SANTOS,EMBRAPORT - EMPRESA BRASILEIRA DE TERMINAIS PORTUÁRIOS S/A,Papel e Papelao,2022,COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAVEIS EM BENEFICIO A NATUREZA,12570.0,kilogramas (kg)
MARIM GERENCIAMENTO DE RESIDUOS,SAO PAULO,SANTOS,EMBRAPORT - EMPRESA BRASILEIRA DE TERMINAIS PORTUÁRIOS S/A,Plasticos,2022,COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAVEIS EM BENEFICIO A NATUREZA,8370.0,kilogramas (kg)
INDUSTRIA DE METAIS E OXIDOS SUZANO LTDA,SAO PAULO,SUZANO,JF PASQUA CONDUTORES ELÉTRICOS LTDA,Metais e derivados,2020,INDUSTRIA DE METAIS E OXIDOS SUZANO LTDA,978240.0,kilogramas (kg)
CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,SAO PAULO,VALINHOS,CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,Papel e Papelao,2020,CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,650.0,kilogramas (kg)
CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,SAO PAULO,VALINHOS,CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,Plasticos,2020,CONTATO COMERCIO DE MATERIAIS RECICLÁVEIS LTDA ME,2670.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,COMERCIAL DE MADEIRAS PANTANAL DA AMAZONIA LTDA.,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,25200.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,BELA VISTA INDÚSTRIA DE MÓVEIS OLIMPIA LTDA ME,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,10.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,NOSSA CASA URUPÊS PORTAS E ACESSÓRIOS LTDA,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,66000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,MADEIREIRA SÃO SEBASTIÃO DE BADY BASSITT LTDA,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,20000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,SERRARIA SAO SEBASTIAO DE CARDOSO LTDA,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,30000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,SÃO SEBASTIÃO MADEIRAS LTDA,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,11100.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,KATIA REGINA CANTÓIA,Madeiras e derivados,2020,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,24700.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,NOSSA CASA URUPÊS PORTAS E ACESSÓRIOS LTDA,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,60000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,MADEIREIRA SÃO SEBASTIÃO DE BADY BASSITT LTDA,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,40000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,COMERCIAL DE MADEIRAS PANTANAL DA AMAZONIA LTDA.,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,25000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,2 IRMÃS INDÚSTRIA E COMÉRCIO DE MÓVEIS E MADEIRAS LTDA - EPP,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,6000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,SÃO SEBASTIÃO MADEIRAS LTDA,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,10900.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,SERRARIA SAO SEBASTIAO DE CARDOSO LTDA,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,100000.0,kilogramas (kg)
ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,SAO PAULO,VALENTIM GENTIL,KATIA REGINA CANTÓIA,Madeiras e derivados,2021,ECOMAD - PRODUTORA DE ENERGIA ALTERNATIVA LTDA,23900.0,kilogramas (kg)
